"IID","feed","cage.pen","breed","weight","comb_mass","group"
598,"SLU-kontroll","CAGE","Bovans",1.921,31.23,2309
599,"SLU-kontroll","CAGE","Bovans",1.895,28.68,2309
600,"SLU-försök","CAGE","Bovans",2.188,21.2,2322
601,"SLU-försök","CAGE","Bovans",1.985,23.91,2322
603,"SLU-försök","CAGE","Bovans",2.139,29.8,2322
605,"SLU-kontroll","CAGE","LSL",1.87,31.37,2323
608,"SLU-försök","CAGE","Bovans",1.904,26.86,2324
609,"SLU-försök","CAGE","Bovans",1.751,34.69,2324
610,"SLU-kontroll","CAGE","LSL",1.955,21.99,2407
611,"SLU-kontroll","CAGE","LSL",2.038,23.88,2407
612,"SLU-kontroll","CAGE","LSL",1.757,31.2,2323
613,"SLU-kontroll","CAGE","LSL",1.483,22.5,2323
614,"SLU-kontroll","CAGE","Bovans",1.753,28.45,2408
615,"SLU-kontroll","CAGE","Bovans",1.855,29.45,2408
616,"SLU-försök","CAGE","LSL",2.025,20.14,2409
617,"SLU-försök","CAGE","LSL",1.883,21.38,2409
618,"SLU-kontroll","CAGE","Bovans",1.803,25.38,2304
621,"SLU-försök","CAGE","Bovans",2.049,22.1,2423
622,"SLU-försök","CAGE","Bovans",1.896,22.84,2423
623,"SLU-försök","CAGE","LSL",1.705,24.33,2422
624,"SLU-försök","CAGE","LSL",1.854,14.32,2422
625,"SLU-försök","CAGE","LSL",1.96,27.37,2422
626,"SLU-kontroll","CAGE","LSL",2.305,33.06,2424
628,"SLU-kontroll","CAGE","Bovans",2.324,24.36,2507
629,"SLU-kontroll","CAGE","Bovans",2.092,24.16,2507
630,"SLU-kontroll","CAGE","LSL",1.85,13.61,2508
631,"SLU-kontroll","CAGE","LSL",1.977,27.03,2508
632,"SLU-kontroll","CAGE","Bovans",2.192,24.8,2509
633,"SLU-kontroll","CAGE","Bovans",1.837,18.81,2509
634,"SLU-försök","CAGE","Bovans",1.751,20.6,2522
636,"SLU-försök","CAGE","LSL",1.826,27.71,2523
637,"SLU-försök","CAGE","LSL",1.732,19.29,2523
639,"SLU-försök","CAGE","Bovans",1.803,17.15,2524
643,"SLU-försök","CAGE","LSL",2.009,22.26,2607
644,"SLU-försök","CAGE","Bovans",1.778,36.7,2524
645,"SLU-försök","CAGE","Bovans",1.979,23.52,2608
646,"SLU-försök","CAGE","Bovans",1.701,18.89,2608
647,"SLU-kontroll","CAGE","LSL",2.319,23.31,2609
649,"SLU-kontroll","CAGE","LSL",1.778,28.94,2622
650,"SLU-kontroll","CAGE","LSL",1.961,12.3,2622
652,"SLU-kontroll","CAGE","Bovans",2.184,30.7,2623
653,"SLU-försök","CAGE","LSL",1.821,21.85,2624
655,"SLU-försök","CAGE","Bovans",1.649,35.4,2519
656,"SLU-försök","CAGE","Bovans",2.143,27.9,2519
658,"SLU-försök","CAGE","LSL",2.759,37.95,2607
660,"SLU-kontroll","CAGE","Bovans",2.108,14.21,2623
661,"SLU-kontroll","CAGE","LSL",1.896,23.99,2606
1003,"SLU-försök","PEN","LSL",1.781,12.75,1001
1004,"SLU-försök","PEN","LSL",1.79,18.76,1001
1006,"SLU-försök","PEN","LSL",1.822,33.51,1001
1007,"SLU-försök","PEN","LSL",1.756,11.88,1001
1008,"SLU-försök","PEN","LSL",1.771,24.81,1001
1009,"SLU-försök","PEN","LSL",1.763,23.46,1001
1010,"SLU-försök","PEN","LSL",1.973,18.14,1001
1011,"SLU-försök","PEN","LSL",2.034,28.18,1001
1012,"SLU-försök","PEN","LSL",1.873,13.81,1001
1013,"SLU-försök","PEN","LSL",1.872,25.54,1001
1014,"SLU-försök","PEN","LSL",1.767,10.21,1001
1015,"SLU-försök","PEN","LSL",1.965,30.28,1001
1016,"SLU-försök","PEN","LSL",1.749,20.52,1001
1017,"SLU-försök","PEN","LSL",1.721,18.65,1001
1019,"SLU-försök","PEN","LSL",1.742,18.96,1001
1020,"SLU-försök","PEN","LSL",1.705,13.35,1001
1022,"SLU-försök","PEN","Bovans",1.388,16.75,1002
1023,"SLU-försök","PEN","Bovans",1.952,10.25,1002
1026,"SLU-försök","PEN","Bovans",2.015,30.96,1002
1027,"SLU-försök","PEN","Bovans",1.707,24.92,1002
1030,"SLU-försök","PEN","Bovans",1.617,24.33,1002
1032,"SLU-försök","PEN","Bovans",1.729,19.42,1002
1033,"SLU-försök","PEN","Bovans",1.825,19.16,1002
1035,"SLU-försök","PEN","Bovans",2.124,26.88,1002
1037,"SLU-försök","PEN","Bovans",2.065,14.42,1002
1042,"SLU-kontroll","PEN","Bovans",2.118,19.9,1003
1044,"SLU-kontroll","PEN","Bovans",1.947,13.42,1003
1045,"SLU-kontroll","PEN","Bovans",1.979,21.84,1003
1046,"SLU-kontroll","PEN","Bovans",1.928,21.6,1003
1047,"SLU-kontroll","PEN","Bovans",2.133,23.35,1003
1048,"SLU-kontroll","PEN","Bovans",2.03,22.83,1003
1049,"SLU-kontroll","PEN","Bovans",1.853,21.6,1003
1050,"SLU-kontroll","PEN","Bovans",1.858,16.37,1003
1052,"SLU-kontroll","PEN","Bovans",2.025,19.16,1003
1054,"SLU-kontroll","PEN","Bovans",1.781,19.98,1003
1055,"SLU-kontroll","PEN","Bovans",2.166,16.92,1003
1056,"SLU-kontroll","PEN","Bovans",1.556,25.96,1003
1059,"SLU-kontroll","PEN","Bovans",1.889,20.7,1003
1061,"SLU-kontroll","PEN","LSL",2.093,26.8,1004
1062,"SLU-kontroll","PEN","LSL",2.067,16.66,1004
1063,"SLU-kontroll","PEN","LSL",1.992,20.64,1004
1065,"SLU-kontroll","PEN","LSL",1.719,19.35,1004
1066,"SLU-kontroll","PEN","LSL",1.757,15.76,1004
1067,"SLU-kontroll","PEN","LSL",1.762,19.37,1004
1069,"SLU-kontroll","PEN","LSL",1.941,17.46,1004
1070,"SLU-kontroll","PEN","LSL",1.921,13.53,1004
1071,"SLU-kontroll","PEN","LSL",1.824,17.06,1004
1072,"SLU-kontroll","PEN","LSL",1.92,19.47,1004
1073,"SLU-kontroll","PEN","LSL",1.843,14.33,1004
1074,"SLU-kontroll","PEN","LSL",1.9,17.81,1004
1076,"SLU-kontroll","PEN","LSL",1.996,17.54,1004
1079,"SLU-kontroll","PEN","LSL",1.819,17.5,1004
1080,"SLU-kontroll","PEN","LSL",1.578,12.56,1004
1082,"SLU-försök","PEN","LSL",1.955,17.77,1005
1083,"SLU-försök","PEN","LSL",1.845,12.65,1005
1084,"SLU-försök","PEN","LSL",2.286,17.1,1005
1085,"SLU-försök","PEN","LSL",1.73,15.28,1005
1086,"SLU-försök","PEN","LSL",1.649,23.66,1005
1087,"SLU-försök","PEN","LSL",1.998,14.43,1005
1088,"SLU-försök","PEN","LSL",2.346,29.53,1005
1089,"SLU-försök","PEN","LSL",1.735,24.27,1005
1090,"SLU-försök","PEN","LSL",1.71,15.32,1005
1091,"SLU-försök","PEN","LSL",1.611,15.03,1005
1093,"SLU-försök","PEN","LSL",1.917,22.45,1005
1095,"SLU-försök","PEN","LSL",2.326,22,1005
1101,"SLU-försök","PEN","Bovans",2.157,19.64,1006
1102,"SLU-försök","PEN","Bovans",1.95,19.17,1006
1104,"SLU-försök","PEN","Bovans",1.982,14.84,1006
1105,"SLU-försök","PEN","Bovans",1.827,21.48,1006
1109,"SLU-försök","PEN","Bovans",1.84,20.78,1006
1110,"SLU-försök","PEN","Bovans",2.209,20.16,1006
1115,"SLU-försök","PEN","Bovans",2.057,16.55,1006
1116,"SLU-försök","PEN","Bovans",2.004,15.49,1006
1117,"SLU-försök","PEN","Bovans",1.847,11.73,1006
1118,"SLU-försök","PEN","Bovans",1.933,17.39,1006
1120,"SLU-försök","PEN","Bovans",1.832,12.23,1006
1122,"SLU-försök","PEN","LSL",1.683,24.1,1007
1123,"SLU-försök","PEN","LSL",1.918,24.12,1007
1124,"SLU-försök","PEN","LSL",1.577,22.17,1007
1125,"SLU-försök","PEN","LSL",2.231,14.19,1007
1126,"SLU-försök","PEN","LSL",1.809,23.87,1007
1129,"SLU-försök","PEN","LSL",1.887,13.73,1007
1132,"SLU-försök","PEN","LSL",1.955,17.76,1007
1135,"SLU-försök","PEN","LSL",1.88,17.69,1007
1138,"SLU-försök","PEN","LSL",1.848,23.89,1007
1139,"SLU-försök","PEN","LSL",1.969,19.33,1007
1141,"SLU-kontroll","PEN","LSL",1.639,19.17,1008
1142,"SLU-kontroll","PEN","LSL",1.706,16.04,1008
1143,"SLU-kontroll","PEN","LSL",1.839,16.7,1008
1146,"SLU-kontroll","PEN","LSL",1.881,11.5,1008
1147,"SLU-kontroll","PEN","LSL",1.73,21.39,1008
1148,"SLU-kontroll","PEN","LSL",1.869,20.65,1008
1150,"SLU-kontroll","PEN","LSL",1.699,14.31,1008
1151,"SLU-kontroll","PEN","LSL",1.7,29.02,1008
1152,"SLU-kontroll","PEN","LSL",2.143,28.39,1008
1153,"SLU-kontroll","PEN","LSL",1.749,19.13,1008
1156,"SLU-kontroll","PEN","LSL",2.098,16.34,1008
1159,"SLU-kontroll","PEN","LSL",2.037,32.68,1008
1160,"SLU-kontroll","PEN","LSL",1.854,31.86,1008
1162,"SLU-kontroll","PEN","Bovans",1.858,22.86,1009
1163,"SLU-kontroll","PEN","Bovans",1.649,16.98,1009
1164,"SLU-kontroll","PEN","Bovans",1.843,20.77,1009
1165,"SLU-kontroll","PEN","Bovans",2.181,18.62,1009
1167,"SLU-kontroll","PEN","Bovans",2.197,23.13,1009
1168,"SLU-kontroll","PEN","Bovans",1.896,14.9,1009
1169,"SLU-kontroll","PEN","Bovans",2.009,26.72,1009
1170,"SLU-kontroll","PEN","Bovans",1.754,29.53,1009
1171,"SLU-kontroll","PEN","Bovans",2.053,16.5,1009
1172,"SLU-kontroll","PEN","Bovans",1.79,17.43,1009
1174,"SLU-kontroll","PEN","Bovans",1.74,30.96,1009
1175,"SLU-kontroll","PEN","Bovans",1.807,28.16,1009
1178,"SLU-kontroll","PEN","Bovans",1.773,13.46,1009
1179,"SLU-kontroll","PEN","Bovans",1.912,19.29,1009
1180,"SLU-kontroll","PEN","Bovans",2.05,29.64,1009
1181,"SLU-kontroll","PEN","LSL",1.855,15.17,1010
1183,"SLU-kontroll","PEN","LSL",2.056,15.02,1010
1185,"SLU-kontroll","PEN","LSL",2.493,10.4,1010
1188,"SLU-kontroll","PEN","LSL",1.835,11.08,1010
1189,"SLU-kontroll","PEN","LSL",1.869,12.8,1010
1191,"SLU-kontroll","PEN","LSL",2.163,15.43,1010
1192,"SLU-kontroll","PEN","LSL",1.789,16.12,1010
1193,"SLU-kontroll","PEN","LSL",1.933,17.17,1010
1194,"SLU-kontroll","PEN","LSL",1.948,9.58,1010
1195,"SLU-kontroll","PEN","LSL",2.029,19.48,1010
1196,"SLU-kontroll","PEN","LSL",1.788,26.7,1010
1197,"SLU-kontroll","PEN","LSL",1.785,13.84,1010
1200,"SLU-kontroll","PEN","LSL",1.813,17.88,1010
1201,"SLU-försök","PEN","LSL",1.598,23.71,1011
1202,"SLU-försök","PEN","LSL",1.616,14.35,1011
1203,"SLU-försök","PEN","LSL",1.692,19.3,1011
1204,"SLU-försök","PEN","LSL",1.786,26.57,1011
1206,"SLU-försök","PEN","LSL",1.825,16.76,1011
1208,"SLU-försök","PEN","LSL",1.536,15.99,1011
1209,"SLU-försök","PEN","LSL",1.951,30.32,1011
1211,"SLU-försök","PEN","LSL",2.071,9.55,1011
1213,"SLU-försök","PEN","LSL",1.738,27.7,1011
1214,"SLU-försök","PEN","LSL",1.682,21.07,1011
1216,"SLU-försök","PEN","LSL",1.758,19.67,1011
1217,"SLU-försök","PEN","LSL",2.03,13.72,1011
1220,"SLU-försök","PEN","LSL",2.094,19.38,1011
1222,"SLU-kontroll","PEN","Bovans",1.691,17,1012
1223,"SLU-kontroll","PEN","Bovans",1.92,21.32,1012
1224,"SLU-kontroll","PEN","Bovans",1.738,20.38,1012
1225,"SLU-kontroll","PEN","Bovans",2.175,33.39,1012
1226,"SLU-kontroll","PEN","Bovans",1.764,17.16,1012
1230,"SLU-kontroll","PEN","Bovans",1.794,18.91,1012
1231,"SLU-kontroll","PEN","Bovans",1.821,14.42,1012
1232,"SLU-kontroll","PEN","Bovans",2.108,29.12,1012
1234,"SLU-kontroll","PEN","Bovans",2.019,25.05,1012
1235,"SLU-kontroll","PEN","Bovans",1.798,13.79,1012
1236,"SLU-kontroll","PEN","Bovans",1.9,21.22,1012
1237,"SLU-kontroll","PEN","Bovans",1.658,18.41,1012
1238,"SLU-kontroll","PEN","Bovans",1.788,20.61,1012
1242,"SLU-försök","PEN","Bovans",1.9,26.79,1013
1244,"SLU-försök","PEN","Bovans",1.769,23.03,1013
1245,"SLU-försök","PEN","Bovans",1.927,24.45,1013
1246,"SLU-försök","PEN","Bovans",1.867,26.37,1013
1247,"SLU-försök","PEN","Bovans",2.169,20.01,1013
1248,"SLU-försök","PEN","Bovans",1.95,10.54,1013
1249,"SLU-försök","PEN","Bovans",2.01,21.68,1013
1250,"SLU-försök","PEN","Bovans",1.655,14.08,1013
1251,"SLU-försök","PEN","Bovans",2.065,16.77,1013
1252,"SLU-försök","PEN","Bovans",1.792,18.08,1013
1254,"SLU-försök","PEN","Bovans",1.858,15.36,1013
1256,"SLU-försök","PEN","Bovans",1.772,20.88,1013
1257,"SLU-försök","PEN","Bovans",2.089,18.07,1013
1258,"SLU-försök","PEN","Bovans",1.949,22,1013
1260,"SLU-försök","PEN","Bovans",1.887,22.12,1013
1261,"SLU-kontroll","PEN","Bovans",1.906,20.04,1014
1263,"SLU-kontroll","PEN","Bovans",1.982,21.06,1014
1264,"SLU-kontroll","PEN","Bovans",1.919,21.31,1014
1265,"SLU-kontroll","PEN","Bovans",1.977,22.74,1014
1267,"SLU-kontroll","PEN","Bovans",1.741,24.89,1014
1270,"SLU-kontroll","PEN","Bovans",1.703,20.31,1014
1271,"SLU-kontroll","PEN","Bovans",2.073,15.8,1014
1273,"SLU-kontroll","PEN","Bovans",1.498,15.49,1014
1274,"SLU-kontroll","PEN","Bovans",1.807,18.47,1014
1275,"SLU-kontroll","PEN","Bovans",1.709,17.66,1014
1278,"SLU-kontroll","PEN","Bovans",1.87,15.49,1014
1281,"SLU-försök","PEN","LSL",1.724,17.35,1015
1282,"SLU-försök","PEN","LSL",1.785,25.9,1015
1283,"SLU-försök","PEN","LSL",1.873,12.02,1015
1286,"SLU-försök","PEN","LSL",1.841,17.49,1015
1287,"SLU-försök","PEN","LSL",1.636,30.87,1015
1290,"SLU-försök","PEN","LSL",1.874,23.52,1015
1291,"SLU-försök","PEN","LSL",1.73,10.47,1015
1293,"SLU-försök","PEN","LSL",1.731,10.65,1015
1294,"SLU-försök","PEN","LSL",1.878,20.02,1015
1296,"SLU-försök","PEN","LSL",1.778,16.6,1015
1299,"SLU-försök","PEN","LSL",1.642,16.45,1015
1300,"SLU-försök","PEN","LSL",1.698,17.55,1015
1301,"SLU-försök","PEN","Bovans",2.18,31.86,1016
1303,"SLU-försök","PEN","Bovans",2.184,22.71,1016
1305,"SLU-försök","PEN","Bovans",1.712,8.98,1016
1306,"SLU-försök","PEN","Bovans",1.884,15.22,1016
1307,"SLU-försök","PEN","Bovans",2.235,24.41,1016
1310,"SLU-försök","PEN","Bovans",1.754,18.03,1016
1311,"SLU-försök","PEN","Bovans",1.702,10.95,1016
1314,"SLU-försök","PEN","Bovans",2.51,28.13,1016
1315,"SLU-försök","PEN","Bovans",1.723,17.45,1016
1316,"SLU-försök","PEN","Bovans",1.642,27.89,1016
1317,"SLU-försök","PEN","Bovans",1.714,17.85,1016
1318,"SLU-försök","PEN","Bovans",1.979,7.59,1016
1319,"SLU-försök","PEN","Bovans",1.961,17.22,1016
1321,"SLU-kontroll","PEN","LSL",1.646,11.72,1017
1324,"SLU-kontroll","PEN","LSL",1.753,17.81,1017
1325,"SLU-kontroll","PEN","LSL",1.736,12.58,1017
1326,"SLU-kontroll","PEN","LSL",2.413,21.58,1017
1327,"SLU-kontroll","PEN","LSL",1.827,11.79,1017
1330,"SLU-kontroll","PEN","LSL",2.393,55.33,1017
1332,"SLU-kontroll","PEN","LSL",1.71,16.82,1017
1334,"SLU-kontroll","PEN","LSL",1.871,13.41,1017
1336,"SLU-kontroll","PEN","LSL",2.096,15.76,1017
1337,"SLU-kontroll","PEN","LSL",2.082,33.76,1017
1341,"SLU-kontroll","PEN","Bovans",2.596,15.45,1018
1342,"SLU-kontroll","PEN","Bovans",1.881,35.46,1018
1344,"SLU-kontroll","PEN","Bovans",1.977,19.61,1018
1345,"SLU-kontroll","PEN","Bovans",1.908,22.22,1018
1346,"SLU-kontroll","PEN","Bovans",1.767,17.67,1018
1347,"SLU-kontroll","PEN","Bovans",2.266,17.03,1018
1348,"SLU-kontroll","PEN","Bovans",1.741,14.97,1018
1349,"SLU-kontroll","PEN","Bovans",1.8,21.41,1018
1354,"SLU-kontroll","PEN","Bovans",1.937,23.74,1018
1355,"SLU-kontroll","PEN","Bovans",2.013,22.32,1018
1356,"SLU-kontroll","PEN","Bovans",1.916,15.69,1018
1360,"SLU-kontroll","PEN","Bovans",1.921,21.19,1018
1366,"SLU-försök","PEN","LSL",1.872,21.57,1001
1370,"SLU-försök","PEN","LSL",1.882,26.32,1001
1371,"SLU-försök","PEN","LSL",1.876,22.52,1001
1372,"SLU-försök","PEN","LSL",1.59,22.23,1001
1373,"SLU-försök","PEN","Bovans",1.794,22.36,1002
1374,"SLU-försök","PEN","Bovans",1.547,18.69,1002
1375,"SLU-försök","PEN","Bovans",1.918,9.44,1002
1379,"SLU-försök","PEN","Bovans",2.189,20.29,1002
1381,"SLU-försök","PEN","Bovans",2.27,25.16,1002
1382,"SLU-försök","PEN","Bovans",1.751,21.44,1002
1386,"SLU-försök","PEN","Bovans",1.557,14.88,1002
1387,"SLU-försök","PEN","Bovans",2.199,25.97,1002
1389,"SLU-kontroll","PEN","Bovans",1.746,19.62,1003
1390,"SLU-kontroll","PEN","Bovans",1.58,11.34,1003
1391,"SLU-kontroll","PEN","Bovans",2.08,16.15,1003
1393,"SLU-kontroll","PEN","Bovans",1.848,19.54,1003
1394,"SLU-kontroll","PEN","Bovans",1.933,28.65,1003
1397,"SLU-kontroll","PEN","Bovans",1.973,20.37,1003
1398,"SLU-kontroll","PEN","Bovans",1.955,36.3,1003
1399,"SLU-kontroll","PEN","Bovans",1.93,28.8,1003
1400,"SLU-kontroll","PEN","Bovans",1.728,19.65,1003
1401,"SLU-kontroll","PEN","Bovans",2.071,25.7,1003
1402,"SLU-kontroll","PEN","Bovans",1.937,20.85,1003
1403,"SLU-kontroll","PEN","LSL",1.521,10.74,1004
1405,"SLU-kontroll","PEN","LSL",1.987,20.19,1004
1406,"SLU-kontroll","PEN","LSL",2.115,17.97,1004
1407,"SLU-kontroll","PEN","LSL",1.844,15.86,1004
1410,"SLU-kontroll","PEN","LSL",1.95,29.39,1004
1411,"SLU-kontroll","PEN","LSL",1.872,18.12,1004
1415,"SLU-försök","PEN","LSL",1.952,18.35,1005
1416,"SLU-försök","PEN","LSL",1.969,18.65,1005
1418,"SLU-försök","PEN","LSL",1.981,16.08,1005
1419,"SLU-försök","PEN","LSL",1.526,16.58,1005
1420,"SLU-försök","PEN","LSL",2.079,24.81,1005
1421,"SLU-försök","PEN","LSL",1.941,20.08,1005
1422,"SLU-försök","PEN","LSL",1.729,17.1,1005
1423,"SLU-försök","PEN","LSL",1.886,24.34,1005
1424,"SLU-försök","PEN","LSL",2.001,25.26,1005
1425,"SLU-försök","PEN","LSL",1.677,21.95,1005
1427,"SLU-försök","PEN","Bovans",1.716,21.88,1006
1428,"SLU-försök","PEN","Bovans",1.708,18.74,1006
1431,"SLU-försök","PEN","Bovans",1.7,14.89,1006
1433,"SLU-försök","PEN","Bovans",1.564,17.48,1006
1434,"SLU-försök","PEN","Bovans",2.078,12.2,1006
1435,"SLU-försök","PEN","Bovans",1.901,28.19,1006
1438,"SLU-försök","PEN","Bovans",1.909,30.43,1006
1439,"SLU-försök","PEN","Bovans",1.728,24.31,1006
1440,"SLU-försök","PEN","Bovans",1.622,19.22,1006
1443,"SLU-försök","PEN","LSL",1.877,28.21,1007
1444,"SLU-försök","PEN","LSL",1.874,28.51,1007
1445,"SLU-försök","PEN","LSL",1.729,21.29,1007
1446,"SLU-försök","PEN","LSL",1.814,24.46,1007
1447,"SLU-försök","PEN","LSL",1.675,19.02,1007
1448,"SLU-försök","PEN","LSL",1.799,22.29,1007
1451,"SLU-försök","PEN","LSL",1.802,29.07,1007
1452,"SLU-försök","PEN","LSL",1.898,16.71,1007
1453,"SLU-försök","PEN","LSL",1.967,23.56,1007
1454,"SLU-försök","PEN","LSL",1.749,17.12,1007
1456,"SLU-försök","PEN","LSL",1.702,29.14,1007
1459,"SLU-kontroll","PEN","LSL",1.72,16.99,1008
1460,"SLU-kontroll","PEN","LSL",1.857,20.8,1008
1461,"SLU-kontroll","PEN","LSL",2.155,15.38,1008
1462,"SLU-kontroll","PEN","LSL",1.65,22.81,1008
1463,"SLU-kontroll","PEN","LSL",1.997,23.8,1008
1466,"SLU-kontroll","PEN","LSL",1.866,20,1008
1467,"SLU-kontroll","PEN","LSL",1.955,15.74,1008
1468,"SLU-kontroll","PEN","LSL",1.862,19.36,1008
1469,"SLU-kontroll","PEN","LSL",1.74,14.43,1008
1471,"SLU-kontroll","PEN","LSL",1.633,24.04,1008
1473,"SLU-kontroll","PEN","LSL",1.589,11.81,1008
1474,"SLU-kontroll","PEN","Bovans",2.023,23.76,1009
1476,"SLU-kontroll","PEN","Bovans",1.913,19.82,1009
1477,"SLU-kontroll","PEN","Bovans",1.865,18.31,1009
1483,"SLU-kontroll","PEN","Bovans",1.899,25.93,1009
1484,"SLU-kontroll","PEN","Bovans",2.023,13.41,1009
1485,"SLU-kontroll","PEN","Bovans",1.865,17.7,1009
1486,"SLU-kontroll","PEN","Bovans",1.887,20.49,1009
